Dataset,Method,Dimensions,K-Nearest Neighbors Neighbors,random_state,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Time Taken (seconds)
Large,Baseline,784,5,42005,0.8403,0.8433125093747643,0.8402999999999998,0.8398699313595765,0.9593211333333335,5.2620798330171965
Large,PCA,5,5,42,0.7481,0.7455583306327229,0.7481,0.7452932900709355,0.9324499222222222,0.36602287500863895
Large,Random Projection,5,5,42,0.5139,0.5156225188459287,0.5138999999999999,0.5104369272555037,0.8322994444444444,0.26387391705065966
Large,Baseline,784,5,42010,0.8422,0.8451339108966703,0.8421999999999998,0.8419355583880368,0.9592414388888889,5.326268750010058
Large,PCA,10,5,42,0.8157,0.8147307073173135,0.8157,0.8144201408006928,0.955487538888889,0.5399097920162603
Large,Random Projection,10,5,42,0.6986,0.7001482684364727,0.6986,0.6968331502376099,0.9160118611111112,1.0514019170077518
Large,Baseline,784,5,42020,0.8399,0.8426668614567264,0.8399000000000001,0.839683607954106,0.9586073944444443,5.011882207996678
Large,PCA,20,5,42,0.8475,0.8473706457100529,0.8474999999999999,0.8465281969814586,0.9665746777777777,0.7767840000451542
Large,Random Projection,20,5,42,0.7843,0.7879745663098955,0.7843,0.7837776214453506,0.9461925166666667,0.5578939590486698
Large,Baseline,784,5,42050,0.8399,0.8433605158122432,0.8398999999999999,0.840020080723038,0.9587307388888888,4.792239417030942
Large,PCA,50,5,42,0.8622,0.8624056722429907,0.8622,0.8609997130876911,0.9714063611111111,0.7886746659642085
Large,Random Projection,50,5,42,0.8344,0.8377234261839146,0.8343999999999999,0.8333824446256551,0.9636293777777777,0.9193442919640802
Large,Baseline,784,5,42100,0.8434,0.8462418234529714,0.8433999999999999,0.8428893878217132,0.9575222777777777,6.305367166991346
Large,PCA,100,5,42,0.8678,0.8683394021263258,0.8677999999999999,0.8668170246998732,0.9726346722222221,1.2388770419638604
Large,Random Projection,100,5,42,0.8472,0.8498032085069092,0.8472,0.8462505156843727,0.9667482833333334,0.8927314159809612
Large,Baseline,784,5,42200,0.8447,0.8476758140774887,0.8447000000000001,0.8444686451868639,0.9582035222222223,5.448756875004619
Large,PCA,200,5,42,0.8679,0.8689552437124103,0.8679,0.8670058378532843,0.9724172555555555,1.5790557909640484
Large,Random Projection,200,5,42,0.855,0.8574658516422407,0.8550000000000001,0.8541280117916186,0.9688399277777778,1.4879662489984185
Large,Baseline,784,5,42500,0.8443,0.8473789270284181,0.8442999999999999,0.8441775875008387,0.9575988333333333,5.576662250037771
Large,PCA,500,5,42,0.8608,0.8629935220921349,0.8607999999999999,0.8598668177249775,0.9702506999999999,3.962662876059767
Large,Random Projection,500,5,42,0.8582,0.8605438716968028,0.8582000000000001,0.8574020786352847,0.9682543333333333,3.545904083061032
Small,Baseline,536,5,43002,0.7536231884057971,0.9047619047619048,0.5588235294117647,0.6909090909090909,0.8201680672268908,0.01670424995245412
Small,PCA,2,5,43,0.6666666666666666,0.6486486486486487,0.7058823529411765,0.676056338028169,0.6680672268907563,0.007051625056192279
Small,Random Projection,2,5,43,0.5507246376811594,0.5428571428571428,0.5588235294117647,0.5507246376811594,0.5550420168067227,0.005029166990425438
Small,Baseline,536,5,43005,0.7101449275362319,0.8181818181818182,0.5294117647058824,0.6428571428571429,0.8298319327731092,0.010246500023640692
Small,PCA,5,5,43,0.782608695652174,0.8064516129032258,0.7352941176470589,0.7692307692307693,0.8600840336134454,0.005462167027872056
