Dataset,Method,Dimensions,K-Means Clusters,n_init,random_state,Adjusted Rand Index (ARI),Normalized Mutual Information (NMI),Silhouette Score (SS),SS Sample Size,SS Random State,Explained Variance,Time Taken (seconds)
Large,PCA,50,10,10,43,0.3750270565837876,0.5131278353423853,0.18803282158251924,,,0.8625453344035788,1.5814627920044586
Large,Random Projection,50,10,10,43,0.3506829114944775,0.4899540493548896,0.14463692359704763,,,,0.8004731250111945
Large,Baseline,784,10,10,43100,0.3751796523232763,0.5132544814626551,0.14346838591495592,,,,12.900524875032715
Large,PCA,100,10,10,43,0.3485110633331961,0.5124431454048067,0.1805797790587827,,,0.9123100962431275,1.76302420796128
Large,Random Projection,100,10,10,43,0.34593391745352303,0.5065445042511076,0.15078154308893718,,,,3.0713977920240723
Large,Baseline,784,10,10,43200,0.34858074618235363,0.5124850882563813,0.15440405669959578,,,,11.827109624980949
Large,PCA,200,10,10,43,0.3489328657076374,0.5128040940142803,0.1667152535111039,,,0.9536634114273629,2.87483062496176
Large,Random Projection,200,10,10,43,0.3421929441884206,0.5049808032948497,0.14998067190573577,,,,2.241425958054606
Large,Baseline,784,10,10,43500,0.3493056924781105,0.5128296369412216,0.15462173827058207,,,,11.191485124989413
Large,PCA,500,10,10,43,0.3493538416946301,0.5128641725416814,0.15645735136950725,,,0.9926156786617941,7.807151333021466
Large,Random Projection,500,10,10,43,0.3399252530029063,0.5043945041489875,0.15050267662883499,,,,7.978186000022106
Small,Baseline,536,2,10,44002,0.13620321259892648,0.11049847184842286,0.05252012847288847,,,,0.012251291947904974
Small,PCA,2,2,10,44,0.0432072155718407,0.03587590435716508,0.32624426376383453,,,0.13244333971426075,0.021867584029678255
Small,Random Projection,2,2,10,44,0.010539158545357348,0.010853326605275668,0.30159986085047735,,,,0.005183124972973019
Small,Baseline,536,2,10,44005,0.136066856801751,0.10452505466296248,0.05236900475191713,,,,0.0075797500321641564
Small,PCA,5,2,10,44,0.06396575333606827,0.04966766787003387,0.1461545650238989,,,0.300867071809754,0.006793333974201232
Small,Random Projection,5,2,10,44,0.03582144989056178,0.029358684860991087,0.18825982973845068,,,,0.00897624995559454
Small,Baseline,536,2,10,44010,0.07357477390850237,0.06066282385183096,0.055792863330772616,,,,0.013905334053561091
Small,PCA,10,2,10,44,0.12958308308192118,0.09848907607373564,0.0903635003475181,,,0.5249790560105816,0.007008417043834925
Small,Random Projection,10,2,10,44,0.02630276358710337,0.024344802845091246,0.13407403450966227,,,,0.007282208011019975
Small,Baseline,536,2,10,44020,0.07343467964684763,0.057648636319643703,0.05248900637656242,,,,0.020770917006302625
Small,PCA,20,2,10,44,-0.0030746895548431834,0.0008995209511073683,0.05477901754510325,,,0.8177371495182488,0.009211292024701834
Small,Random Projection,20,2,10,44,0.0037111913500999893,0.006449595530586829,0.11791951952918368,,,,0.008837750996463
Small,Baseline,536,2,10,44050,0.16338875667587294,0.12460653998842794,0.05212902725428381,,,,0.01669270801357925
Small,PCA,50,2,10,44,-0.004377637568089675,0.0,0.04233345459457435,,,0.9883508051398696,0.022770500043407083
Small,Random Projection,50,2,10,44,0.04721927787858724,0.04079272313699165,0.08456458281842882,,,,0.015358166012447327
Small,Baseline,536,2,10,44100,0.08865273158766776,0.06800732777366968,0.046641033013700255,,,,0.014367667026817799
Small,PCA,100,2,10,44,-0.004377637568089675,0.0,0.041713226490099495,,,0.9996597923022902,0.019546334049664438
Small,Random Projection,100,2,10,44,0.015330848259414928,0.0153332301551533,0.07775609582594728,,,,0.008587834017816931
Small,Baseline,536,2,10,44200,0.11150979448358349,0.0986092232139693,0.05466446193598728,,,,0.010718500008806586
Small,PCA,200,2,10,44,-0.004377637568089675,0.0,0.04169397149431508,,,0.9999999664458754,0.02196154202101752
Small,Random Projection,200,2,10,44,0.039430613243133454,0.03241831934512045,0.05666935137928529,,,,0.01701087603578344
Medium,Baseline,561,6,10,44002,0.45704881389273583,0.5848983323469128,0.14593208171358996,,,,0.9031350419973023
Medium,PCA,2,6,10,44,0.2554887760209045,0.4305765383324101,0.4495808189258169,,,0.6746746270487901,0.06383250001817942
Medium,Random Projection,2,6,10,44,0.2176579490050078,0.3059019698238383,0.3190968762256029,,,,0.05633937392849475
Medium,Baseline,561,6,10,44005,0.45578104087822924,0.58435643009709,0.14566112536808787,,,,0.5651145830051973
Medium,PCA,5,6,10,44,0.46157793291722726,0.5859823127960178,0.3728745274138469,,,0.751587462654516,0.12849116697907448
Medium,Random Projection,5,6,10,44,0.21630383343422108,0.30376459189762695,0.18882470475591073,,,,0.28562574996612966
Medium,Baseline,561,6,10,44010,0.455755085259575,0.5842556779696726,0.14532120620473768,,,,1.0252641250262968
Medium,PCA,10,6,10,44,0.4593353134449143,0.5867313038400541,0.28008739772276675,,,0.8050387180555126,0.3051794999628328
Medium,Random Projection,10,6,10,44,0.3260843271941891,0.47475621761608505,0.16279235154618613,,,,0.14342574996408075
Medium,Baseline,561,6,10,44020,0.45705265636549425,0.5846829014971449,0.14665636873277021,,,,0.9442542500328273
Medium,PCA,20,6,10,44,0.4539025034811772,0.5822459063428437,0.22154497652192337,,,0.8578471115500221,0.10701937502017245
Medium,Random Projection,20,6,10,44,0.41981453478353803,0.5580092825458485,0.16547981517490112,,,,0.10083541600033641
Medium,Baseline,561,6,10,44050,0.45705265636549425,0.5846829014971449,0.14665636873277021,,,,0.6131774170207791
Medium,PCA,50,6,10,44,0.4556469697312765,0.5841692630160219,0.17404508343349845,,,0.9308630670765421,0.15464674908434972
